,title,engine,power,transmission,drive_unit,color,mileage,steering,generation,price
987,"Продажа Toyota Land Cruiser, 2003 год в Москве","бензин, 4.7 л",235 л.с.,автомат,4WD,серый,223000,левый,"10 поколение, рестайлинг",990000
988,"Продажа Toyota Windom, 1995 год в Москве","бензин, 2.5 л",175 л.с.,автомат,передний,,150000,правый,"1 поколение, рестайлинг",160000
989,"Продажа Nissan Juke, 2012 год в Москве","бензин, 1.6 л",117 л.с.,автомат,передний,белый,83000,левый,1 поколение,565000
990,"Продажа Toyota Caldina, 1993 год в Москве","бензин, 2.0 л",135 л.с.,автомат,передний,черный,500800,правый,,130000
991,"Продажа Toyota RAV4, 2007 год в Москве","бензин, 2.4 л",170 л.с.,автомат,4WD,бежевый,172000,левый,3 поколение,650000
992,"Продажа Lexus RX350, 2012 год в Москве","бензин, 3.5 л",277 л.с.,автомат,передний,белый,108000,левый,,1380000
993,"Продажа Lexus RX350, 2012 год в Москве","бензин, 3.5 л",277 л.с.,автомат,передний,белый,108000,левый,,1380000
994,"Продажа Lexus RX350, 2008 год в Москве","бензин, 3.5 л",276 л.с.,автомат,4WD,голубой,245000,левый,"2 поколение, рестайлинг",729000
995,"Продажа Volvo S60, 2011 год в Москве","бензин, 1.6 л",180 л.с.,автомат,передний,белый,177315,левый,2 поколение,500000
996,"Продажа Hyundai Santa Fe, 2010 год в Москве","дизель, 2.2 л",197 л.с.,автомат,4WD,синий,196066,левый,"2 поколение, рестайлинг",795000
997,"Продажа Chevrolet Aveo, 2008 год в Москве","бензин, 1.4 л",101 л.с.,автомат,передний,синий,96600,левый,"1 поколение, рестайлинг",230000
998,"Продажа Subaru XV, 2014 год в Москве","бензин, 2.0 л",150 л.с.,,4WD,серый,114250,левый,1 поколение,999000
999,"Продажа Chevrolet Lanos, 2005 год в Москве","бензин, 1.5 л",86 л.с.,механика,передний,серебристый,183329,,1 поколение,90000
1000,"Продажа Nissan Qashqai, 2012 год в Москве","бензин, 1.6 л",117 л.с.,,передний,коричневый,110500,левый,"1 поколение, рестайлинг",669000
1001,"Продажа Volkswagen Polo, 2015 год в Москве","бензин, 1.6 л",105 л.с.,механика,передний,коричневый,77982,левый,5 поколение,538000
1002,"Продажа Mazda Mazda6, 2014 год в Москве","бензин, 2.5 л",192 л.с.,автомат,передний,черный,84000,левый,3 поколение,1030000
1003,"Продажа Hyundai Solaris, 2012 год в Москве","бензин, 1.4 л",107 л.с.,автомат,передний,красный,49900,левый,1 поколение,470000
1004,"Продажа BMW 5-Series, 2017 год в Москве","дизель, 3.0 л",249 л.с.,автомат,4WD,серый,63000,левый,7 поколение,2700000
1005,"Продажа Toyota Succeed, 2015 год в Москве","бензин, 1.5 л",109 л.с.,автомат,передний,серый,,правый,"1 поколение, рестайлинг",590000
1006,"Продажа Honda Civic, 2008 год в Москве","бензин, 1.8 л",140 л.с.,механика,передний,серый,206000,левый,8 поколение,420000
1007,"Продажа Nissan Juke, 2013 год в Москве","бензин, 1.6 л",117 л.с.,автомат,передний,коричневый,75500,левый,1 поколение,776000
1008,"Продажа Hyundai Solaris, 2012 год в Москве","бензин, 1.6 л",123 л.с.,автомат,передний,серебристый,118000,левый,1 поколение,450000
1009,"Продажа Mercedes-Benz C-Class, 2013 год в Москве","бензин, 1.6 л",156 л.с.,автомат,задний,черный,79000,левый,,930000
1010,"Продажа Hyundai Tucson, 2007 год в Москве","бензин, 2.0 л",141 л.с.,автомат,4WD,серебристый,147000,левый,,525000
1011,"Продажа Volkswagen Touareg, 2019 год в Москве","дизель, 3.0 л",249 л.с.,автомат,4WD,серебристый,17000,левый,3 поколение,4350000
1012,"Продажа Mazda Mazda3, 2008 год в Москве","бензин, 1.6 л",105 л.с.,автомат,передний,серебристый,145530,левый,"1 поколение, рестайлинг",375000
1013,"Продажа Mercedes-Benz C-Class, 2013 год в Москве","бензин, 1.6 л",156 л.с.,автомат,задний,черный,79000,левый,,930000
1014,"Продажа Hyundai Tucson, 2007 год в Москве","бензин, 2.0 л",141 л.с.,автомат,4WD,серебристый,147000,левый,,525000
1015,"Продажа Volkswagen Touareg, 2019 год в Москве","дизель, 3.0 л",249 л.с.,автомат,4WD,серебристый,17000,левый,3 поколение,4350000
1016,"Продажа Mazda Mazda3, 2008 год в Москве","бензин, 1.6 л",105 л.с.,автомат,передний,серебристый,145530,левый,"1 поколение, рестайлинг",375000
1017,"Продажа Ford Explorer, 2013 год в Москве","бензин, 3.5 л",294 л.с.,автомат,4WD,серебристый,159543,левый,5 поколение,964000
1018,"Продажа Nissan Pathfinder, 2013 год в Москве","дизель, 2.5 л",190 л.с.,автомат,4WD,черный,117512,левый,"3 поколение, рестайлинг",1190000
1019,"Продажа Mazda Mazda3, 2013 год в Москве","бензин, 1.6 л",104 л.с.,механика,передний,серебристый,6366,левый,3 поколение,750000
1020,"Продажа Datsun on-DO, 2018 год в Москве","бензин, 1.6 л",87 л.с.,автомат,передний,коричневый,32475,левый,1 поколение,450000
1021,"Продажа Nissan Murano, 2012 год в Москве","бензин, 3.5 л",249 л.с.,автомат,4WD,черный,173049,левый,"2 поколение, рестайлинг",770000
1022,"Продажа Mitsubishi Outlander, 2012 год в Москве","бензин, 2.4 л",167 л.с.,автомат,4WD,белый,140323,левый,3 поколение,830000
1023,"Продажа Renault Duster, 2012 год в Москве","бензин, 2.0 л",135 л.с.,механика,4WD,синий,37081,левый,1 поколение,560000
1024,"Продажа Ford Fiesta, 2008 год в Москве","бензин, 1.4 л",80 л.с.,автомат,передний,синий,77173,левый,"5 поколение, рестайлинг",256000
1025,"Продажа Kia Rio X-Line, 2018 год в Москве","бензин, 1.4 л",100 л.с.,автомат,передний,синий,59149,левый,1 поколение,660000
1026,"Продажа Kia Rio X-Line, 2018 год в Москве","бензин, 1.4 л",100 л.с.,автомат,передний,синий,57123,левый,1 поколение,660000
1027,"Продажа Kia Rio X-Line, 2018 год в Москве","бензин, 1.4 л",100 л.с.,автомат,передний,синий,51466,левый,1 поколение,640000
1028,"Продажа Kia Sportage, 2018 год в Москве","бензин, 2.0 л",150 л.с.,автомат,передний,белый,58604,левый,"4 поколение, рестайлинг",1340000
1029,"Продажа Renault Kaptur, 2017 год в Москве","бензин, 2.0 л",143 л.с.,автомат,4WD,белый,17825,левый,1 поколение,965000
1030,"Продажа Mazda CX-5, 2018 год в Москве","бензин, 2.5 л",194 л.с.,автомат,4WD,черный,37032,левый,2 поколение,1900000
1031,"Продажа Audi Q5, 2010 год в Москве","бензин, 2.0 л",211 л.с.,автомат,4WD,белый,125306,левый,1 поколение,699000
1032,"Продажа Toyota Camry, 2008 год в Москве","бензин, 2.4 л",167 л.с.,автомат,передний,серый,112055,левый,7 поколение,599000
1033,"Продажа Toyota Camry, 2008 год в Москве","бензин, 2.4 л",167 л.с.,автомат,передний,серый,112055,левый,7 поколение,599000
1034,"Продажа Mitsubishi Outlander, 2012 год в Москве","бензин, 2.0 л",146 л.с.,автомат,4WD,черный,95157,левый,3 поколение,759000
1035,"Продажа Audi A5, 2010 год в Москве","бензин, 1.8 л",160 л.с.,автомат,передний,черный,113025,левый,1 поколение,649000
1036,"Продажа BMW X5, 2015 год в Москве","дизель, 3.0 л",313 л.с.,автомат,4WD,белый,95206,левый,3 поколение,2649000
1037,"Продажа Land Rover Range Rover, 2006 год в Москве","бензин, 4.2 л",396 л.с.,автомат,4WD,черный,184000,левый,"3 поколение, рестайлинг",550000
1038,"Продажа Volvo XC70, 2013 год в Москве","дизель, 2.4 л",163 л.с.,автомат,4WD,бежевый,118000,левый,"3 поколение, рестайлинг",1220000
1039,"Продажа Nissan Teana, 2014 год в Москве","бензин, 2.5 л",173 л.с.,автомат,передний,серый,129500,левый,3 поколение,1030000
1040,"Продажа Subaru Forester, 2013 год в Москве","бензин, 2.0 л",150 л.с.,механика,4WD,бежевый,136598,левый,,855000
1041,"Продажа Volkswagen Tiguan, 2011 год в Москве","бензин, 2.0 л",170 л.с.,автомат,4WD,красный,146354,левый,1 поколение,715000
1042,"Продажа Kia Optima, 2019 год в Москве","бензин, 2.0 л",150 л.с.,автомат,передний,белый,68251,левый,"4 поколение, рестайлинг",1245000
1043,"Продажа Renault Kaptur, 2018 год в Москве","бензин, 2.0 л",143 л.с.,автомат,4WD,серый,59894,левый,1 поколение,985000
1044,"Продажа Renault Duster, 2019 год в Москве","бензин, 1.6 л",114 л.с.,механика,4WD,белый,27607,левый,"1 поколение, рестайлинг",895000
1045,"Продажа Volvo XC60, 2017 год в Москве","дизель, 2.4 л",190 л.с.,автомат,4WD,синий,48343,левый,"1 поколение, рестайлинг",2030000
1046,"Продажа Hyundai Solaris, 2015 год в Москве","бензин, 1.6 л",123 л.с.,механика,передний,коричневый,75000,левый,"1 поколение, рестайлинг",580000
1047,"Продажа Mercedes-Benz S-Class, 2014 год в Москве","бензин, 3.0 л",333 л.с.,автомат,4WD,белый,87000,левый,6 поколение,3150000
1048,"Продажа Skoda Superb, 2013 год в Москве","бензин, 1.8 л",152 л.с.,автомат,передний,черный,120192,левый,2 поколение,655000
1049,"Продажа Toyota Land Cruiser Prado, 2017 год в Москве","дизель, 2.8 л",177 л.с.,автомат,4WD,белый,27987,левый,"4 поколение, 2 рестайлинг",2999000
1050,"Продажа Mercedes-Benz GLE, 2016 год в Москве","бензин, 4.7 л",455 л.с.,автомат,4WD,черный,96345,левый,1 поколение,2999000
1051,"Продажа Renault Logan, 2018 год в Москве","бензин, 1.6 л",82 л.с.,механика,передний,серый,26245,левый,2 поколение,550000
1052,"Продажа Volkswagen Tiguan, 2012 год в Москве","бензин, 2.0 л",170 л.с.,автомат,4WD,серый,82050,левый,"1 поколение, рестайлинг",890000
1053,"Продажа Audi Q3, 2017 год в Москве","бензин, 1.4 л",150 л.с.,автомат,передний,черный,87703,левый,"1 поколение, 2 рестайлинг",1200000
1054,"Продажа Mercedes-Benz GLA-Class, 2017 год в Москве","бензин, 1.6 л",150 л.с.,автомат,передний,синий,43651,левый,"1 поколение, рестайлинг",1400000
1055,"Продажа Mercedes-Benz GLA-Class, 2017 год в Москве","бензин, 1.6 л",150 л.с.,автомат,передний,синий,46343,левый,"1 поколение, рестайлинг",1350000
1056,"Продажа Mercedes-Benz GLA-Class, 2017 год в Москве","бензин, 1.6 л",150 л.с.,автомат,передний,синий,44494,левый,"1 поколение, рестайлинг",1300000
1057,"Продажа Mercedes-Benz GLA-Class, 2017 год в Москве","бензин, 1.6 л",150 л.с.,автомат,передний,синий,43342,левый,"1 поколение, рестайлинг",1300000
1058,"Продажа Mercedes-Benz GLA-Class, 2017 год в Москве","бензин, 1.6 л",150 л.с.,автомат,передний,синий,45815,левый,"1 поколение, рестайлинг",1350000
1059,"Продажа Mercedes-Benz GLA-Class, 2017 год в Москве","бензин, 1.6 л",150 л.с.,автомат,передний,синий,43797,левый,"1 поколение, рестайлинг",1350000
1060,"Продажа Mercedes-Benz GLA-Class, 2017 год в Москве","бензин, 1.6 л",150 л.с.,автомат,передний,синий,47403,левый,"1 поколение, рестайлинг",1350000
1061,"Продажа Mercedes-Benz GLA-Class, 2017 год в Москве","бензин, 1.6 л",150 л.с.,автомат,передний,синий,40005,левый,"1 поколение, рестайлинг",1300000
1062,"Продажа Kia Rio X-Line, 2018 год в Москве","бензин, 1.4 л",100 л.с.,автомат,передний,белый,68410,левый,1 поколение,660000
1063,"Продажа Renault Kaptur, 2018 год в Москве","бензин, 1.6 л",114 л.с.,автомат,передний,белый,71734,левый,1 поколение,695000
1064,"Продажа Kia Rio, 2017 год в Москве","бензин, 1.4 л",100 л.с.,автомат,передний,серебристый,69341,левый,4 поколение,620000
1065,"Продажа Renault Kaptur, 2018 год в Москве","бензин, 1.6 л",114 л.с.,автомат,передний,белый,62548,левый,1 поколение,695000
1066,"Продажа Renault Kaptur, 2018 год в Москве","бензин, 1.6 л",114 л.с.,автомат,передний,белый,64394,левый,1 поколение,655000
1067,"Продажа Kia Sorento, 2016 год в Москве","дизель, 2.2 л",200 л.с.,автомат,4WD,серый,92565,левый,3 поколение,1600000
1068,"Продажа Renault Kaptur, 2018 год в Москве","бензин, 1.6 л",114 л.с.,автомат,передний,белый,71448,левый,1 поколение,715000
1069,"Продажа Kia Rio X-Line, 2018 год в Москве","бензин, 1.4 л",100 л.с.,автомат,передний,серебристый,61403,левый,1 поколение,660000
1070,"Продажа Kia Rio X-Line, 2018 год в Москве","бензин, 1.4 л",100 л.с.,автомат,передний,белый,71487,левый,1 поколение,630000
1071,"Продажа Kia Rio X-Line, 2018 год в Москве","бензин, 1.4 л",100 л.с.,автомат,передний,белый,80325,левый,1 поколение,660000
1072,"Продажа Kia Rio X-Line, 2018 год в Москве","бензин, 1.4 л",100 л.с.,автомат,передний,белый,74201,левый,1 поколение,715000
1073,"Продажа Kia Rio X-Line, 2018 год в Москве","бензин, 1.4 л",100 л.с.,автомат,передний,белый,63461,левый,1 поколение,675000
1074,"Продажа Audi A4, 2018 год в Москве","бензин, 1.4 л",150 л.с.,автомат,передний,черный,39090,левый,5 поколение,1590000
1075,"Продажа Lexus RX300, 2017 год в Москве","бензин, 2.0 л",238 л.с.,автомат,4WD,синий,53011,левый,4 поколение,2830000
1076,"Продажа Renault Logan, 2018 год в Москве","бензин, 1.6 л",113 л.с.,механика,передний,синий,24844,левый,2 поколение,575000
1077,"Продажа Hyundai Solaris, 2015 год в Москве","бензин, 1.6 л",123 л.с.,механика,передний,оранжевый,80458,левый,"1 поколение, рестайлинг",555000
1078,"Продажа Лада Веста, 2016 год в Москве","бензин, 1.6 л",106 л.с.,автомат,передний,красный,35977,левый,1 поколение,475000
1079,"Продажа Nissan Qashqai, 2014 год в Москве","бензин, 2.0 л",144 л.с.,автомат,передний,фиолетовый,42237,левый,2 поколение,930000
1080,"Продажа Kia Rio X-Line, 2018 год в Москве","бензин, 1.4 л",100 л.с.,автомат,передний,белый,73845,левый,1 поколение,660000
1081,"Продажа Kia Rio X-Line, 2018 год в Москве","бензин, 1.4 л",100 л.с.,автомат,передний,белый,77197,левый,1 поколение,650000
1082,"Продажа Renault Kaptur, 2018 год в Москве","бензин, 1.6 л",114 л.с.,автомат,передний,белый,55246,левый,1 поколение,655000
1083,"Продажа Renault Kaptur, 2018 год в Москве","бензин, 1.6 л",114 л.с.,автомат,передний,белый,62878,левый,1 поколение,680000
1084,"Продажа Renault Kaptur, 2018 год в Москве","бензин, 1.6 л",114 л.с.,автомат,передний,белый,66227,левый,1 поколение,695000
1085,"Продажа Renault Kaptur, 2018 год в Москве","бензин, 1.6 л",114 л.с.,автомат,передний,белый,68509,левый,1 поколение,680000
1086,"Продажа Kia Rio X-Line, 2018 год в Москве","бензин, 1.4 л",100 л.с.,автомат,передний,белый,69399,левый,1 поколение,675000
1087,"Продажа Kia Rio X-Line, 2018 год в Москве","бензин, 1.4 л",100 л.с.,автомат,передний,белый,69709,левый,1 поколение,660000
1088,"Продажа Kia Rio, 2017 год в Москве","бензин, 1.6 л",123 л.с.,автомат,передний,белый,46354,левый,4 поколение,620000
1089,"Продажа Kia Rio X-Line, 2018 год в Москве","бензин, 1.4 л",100 л.с.,автомат,передний,белый,69397,левый,1 поколение,695000
1090,"Продажа Renault Kaptur, 2018 год в Москве","бензин, 1.6 л",114 л.с.,автомат,передний,белый,72871,левый,1 поколение,695000
1091,"Продажа Nissan Terrano, 2016 год в Москве","бензин, 2.0 л",143 л.с.,автомат,4WD,черный,43468,левый,3 поколение,795000
1092,"Продажа Mazda CX-5, 2019 год в Москве","бензин, 2.5 л",194 л.с.,автомат,4WD,белый,20825,левый,2 поколение,1980000
1093,"Продажа Volkswagen Passat, 2011 год в Москве","бензин, 1.8 л",152 л.с.,автомат,передний,серый,158708,левый,7 поколение,605000
1094,"Продажа Lexus RX350, 2012 год в Москве","бензин, 3.5 л",277 л.с.,автомат,4WD,красный,101778,левый,3 поколение,1530000
1095,"Продажа Kia Rio X-Line, 2018 год в Москве","бензин, 1.4 л",100 л.с.,автомат,передний,белый,71557,левый,1 поколение,675000
1096,"Продажа Toyota Auris, 2010 год в Москве","бензин, 1.6 л",124 л.с.,автомат,передний,голубой,187819,левый,1 поколение,520000
1097,"Продажа Kia Rio X-Line, 2018 год в Москве","бензин, 1.4 л",100 л.с.,автомат,передний,белый,62284,левый,1 поколение,660000
1098,"Продажа Nissan X-Trail, 2006 год в Москве","бензин, 2.0 л",140 л.с.,автомат,4WD,серый,137792,левый,"1 поколение, рестайлинг",480000
1099,"Продажа Nissan Patrol, 2006 год в Москве","дизель, 3.0 л",160 л.с.,автомат,4WD,черный,168707,левый,"5 поколение, 2 рестайлинг",907000
1100,"Продажа Porsche Cayenne, 2017 год в Москве","бензин, 3.6 л",440 л.с.,автомат,4WD,черный,25074,левый,"2 поколение, рестайлинг",4700000
1101,"Продажа Kia Rio, 2017 год в Москве","бензин, 1.4 л",100 л.с.,автомат,передний,белый,68836,левый,4 поколение,645000
1102,"Продажа Hyundai Solaris, 2014 год в Москве","бензин, 1.6 л",123 л.с.,автомат,передний,серебристый,109918,левый,1 поколение,525000
1103,"Продажа BMW X5, 2017 год в Москве","дизель, 3.0 л",218 л.с.,автомат,4WD,серый,38037,левый,3 поколение,2950000
1104,"Продажа Hyundai Solaris, 2014 год в Москве","бензин, 1.6 л",123 л.с.,автомат,передний,серый,80194,левый,1 поколение,575000
1105,"Продажа Audi TT, 2016 год в Москве","бензин, 1.8 л",180 л.с.,автомат,передний,синий,85932,левый,3 поколение,1790000
1106,"Продажа Audi Q3, 2012 год в Москве","бензин, 2.0 л",170 л.с.,автомат,4WD,белый,65047,левый,1 поколение,975000
1107,"Продажа Mercedes-Benz GLS-Class, 2016 год в Москве","дизель, 3.0 л",249 л.с.,автомат,4WD,серый,84176,левый,1 поколение,3600000
1108,"Продажа Mercedes-Benz GL-Class, 2014 год в Москве","бензин, 5.5 л",558 л.с.,автомат,4WD,черный,118365,левый,,3250000
1109,"Продажа Mitsubishi Outlander, 2002 год в Москве","бензин, 2.4 л, ГБО",142 л.с.,автомат,4WD,серебристый,214400,левый,1 поколение,399000
1110,"Продажа Land Rover Freelander, 2008 год в Москве","дизель, 2.2 л",160 л.с.,автомат,4WD,серый,127000,левый,2 поколение,624900
1111,"Продажа BMW X6, 2014 год в Москве","дизель, 3.0 л",381 л.с.,автомат,4WD,синий,35400,левый,2 поколение,3730000
1112,"Продажа Land Rover Freelander, 2008 год в Москве","дизель, 2.2 л",160 л.с.,автомат,4WD,серый,127000,левый,2 поколение,624900
1113,"Продажа BMW X6, 2014 год в Москве","дизель, 3.0 л",381 л.с.,автомат,4WD,синий,35400,левый,2 поколение,3730000
1114,"Продажа Audi A4, 2010 год в Москве","бензин, 1.8 л",160 л.с.,автомат,передний,белый,103000,левый,4 поколение,619900
1115,"Продажа Mercedes-Benz B-Class, 2012 год в Москве","бензин, 1.6 л",156 л.с.,автомат,передний,черный,125000,левый,2 поколение,745000
1116,"Продажа Kia Carnival, 2019 год в Москве","дизель, 2.2 л",202 л.с.,автомат,передний,белый,9000,левый,3 поколение,2620000
1117,"Продажа Opel Kadett, 1987 год в Москве","бензин, 2.0 л",129 л.с.,механика,передний,серебристый,149246,левый,6 поколение,180000
1118,"Продажа Лада 21099, 2001 год в Москве","бензин, 1.5 л",78 л.с.,механика,передний,серый,249000,,1 поколение,45000
1119,"Продажа Kia Picanto, 2007 год в Москве","бензин, 1.1 л",65 л.с.,автомат,передний,серебристый,42076,левый,1 поколение,375000
1120,"Продажа Renault Megane, 2008 год в Москве","бензин, 1.6 л",115 л.с.,механика,передний,синий,218326,левый,,235000
1121,"Продажа Kia Picanto, 2010 год в Москве","бензин, 1.0 л",60 л.с.,механика,передний,голубой,190000,левый,,249000
1122,"Продажа Лада 4x4 2121 Нива, 2019 год в Москве","бензин, 1.7 л",83 л.с.,механика,4WD,синий,5000,левый,1 поколение,580000
1123,"Продажа Лада Х-рей, 2018 год в Москве","бензин, 1.8 л",122 л.с.,автомат,передний,бежевый,20000,,1 поколение,575000
1124,"Продажа Vortex Tingo, 2011 год в Москве","бензин, 1.8 л",132 л.с.,механика,передний,черный,94000,левый,1 поколение,249000
1125,"Продажа Suzuki Ignis, 2007 год в Москве","бензин, 1.3 л",93 л.с.,механика,передний,черный,84000,левый,,300000
1126,"Продажа Hyundai Solaris, 2013 год в Москве","бензин, 1.4 л",107 л.с.,автомат,передний,серый,85000,левый,1 поколение,435000
1127,"Продажа Лада Веста, 2016 год в Москве","бензин, 1.6 л",106 л.с.,автомат,передний,белый,68500,левый,1 поколение,465000
1128,"Продажа Лада 2107, 2007 год в Москве","бензин, 1.6 л",73 л.с.,механика,задний,зеленый,163000,,,45000
1129,"Продажа Mitsubishi Outlander, 2014 год в Москве","бензин, 2.0 л",146 л.с.,автомат,передний,белый,70487,левый,3 поколение,870000
1130,"Продажа Лада 2107, 2003 год в Москве","бензин, 1.6 л",74 л.с.,механика,задний,белый,96868,,,48000
1131,"Продажа Kia Rio, 2010 год в Москве","бензин, 1.4 л",97 л.с.,механика,передний,серый,151000,левый,,300000
1132,"Продажа Kia Rio, 2010 год в Москве","бензин, 1.4 л",97 л.с.,механика,передний,серый,151000,левый,,300000
1133,"Продажа Hyundai Santa Fe, 2017 год в Москве","дизель, 2.2 л",200 л.с.,автомат,4WD,серый,87983,левый,"3 поколение, рестайлинг",1890000
1134,"Продажа Лада Ларгус, 2014 год в Москве","бензин, 1.6 л",105 л.с.,механика,передний,серый,55725,левый,1 поколение,515000
1135,"Продажа Hyundai Solaris, 2014 год в Москве","бензин, 1.4 л",107 л.с.,механика,передний,серый,91897,левый,1 поколение,459000
1136,"Продажа Лада Калина, 2011 год в Москве","бензин, 1.6 л",98 л.с.,механика,передний,голубой,116000,,1 поколение,200000
1137,"Продажа Nissan Almera, 2015 год в Москве","бензин, 1.6 л",102 л.с.,автомат,передний,бежевый,34427,левый,3 поколение,515000
1138,"Продажа Лада Гранта, 2017 год в Москве","бензин, 1.6 л",98 л.с.,автомат,передний,белый,53549,левый,1 поколение,480000
1139,"Продажа Kia Sportage, 2007 год в Москве","дизель, 2.0 л",112 л.с.,автомат,4WD,коричневый,288115,левый,2 поколение,365000
1140,"Продажа Renault Logan, 2017 год в Москве","бензин, 1.6 л",82 л.с.,механика,передний,белый,42388,левый,2 поколение,487000
1141,"Продажа Skoda Octavia, 2019 год в Москве","бензин, 1.8 л",180 л.с.,автомат,передний,серый,5561,левый,"3 поколение, рестайлинг",1495000
1142,"Продажа Hyundai Solaris, 2016 год в Москве","бензин, 1.6 л",123 л.с.,автомат,передний,серый,81000,левый,"1 поколение, рестайлинг",575000
1143,"Продажа Kia Rio, 2012 год в Москве","бензин, 1.6 л",123 л.с.,автомат,передний,черный,321000,левый,3 поколение,420000
1144,"Продажа Peugeot 308, 2010 год в Москве","бензин, 1.6 л",120 л.с.,автомат,передний,серый,142000,левый,1 поколение,270000
1145,"Продажа Opel Astra, 2011 год в Москве","бензин, 1.6 л",115 л.с.,автомат,передний,серый,127000,левый,,365000
1146,"Продажа Лада 2107, 2001 год в Москве","бензин, 1.5 л",72 л.с.,механика,задний,фиолетовый,52467,,,39000
1147,"Продажа BMW 3-Series, 2007 год в Москве","бензин, 2.5 л",218 л.с.,автомат,задний,серый,205500,левый,5 поколение,450000
1148,"Продажа Nissan Almera, 2004 год в Москве","бензин, 1.5 л",98 л.с.,механика,передний,серый,364000,левый,"2 поколение, рестайлинг",150000
1149,"Продажа Лада 4x4 2121 Нива, 2016 год в Москве","бензин, 1.7 л",83 л.с.,механика,4WD,белый,29561,левый,1 поколение,407000
1150,"Продажа Лада 4x4 2121 Нива, 2018 год в Москве","бензин, 1.7 л",83 л.с.,механика,4WD,зеленый,11885,левый,1 поколение,514000
1151,"Продажа Лада 4x4 2121 Нива, 2018 год в Москве","бензин, 1.7 л",83 л.с.,механика,4WD,коричневый,31218,левый,1 поколение,497000
1152,"Продажа ГАЗ 3110 Волга, 2000 год в Москве","бензин, 2.4 л",100 л.с.,механика,задний,черный,77000,левый,1 поколение,90000
1153,"Продажа Mercedes-Benz E-Class, 2010 год в Москве","бензин, 1.8 л",184 л.с.,автомат,задний,черный,130000,левый,4 поколение,790000
1154,"Продажа Mercedes-Benz SLS AMG, 2010 год в Москве","бензин, 6.2 л",571 л.с.,автомат,задний,серый,17600,левый,1 поколение,15790000
1155,"Продажа Mercedes-Benz G-Class, 2020 год в Москве","дизель, 2.9 л",249 л.с.,автомат,4WD,черный,1040,левый,3 поколение,11300000
1156,"Продажа Porsche Panamera, 2019 год в Москве","бензин, 4.0 л",550 л.с.,автомат,4WD,черный,6000,левый,2 поколение,11800000
1157,"Продажа Mitsubishi Outlander, 2019 год в Москве","бензин, 2.0 л",146 л.с.,автомат,4WD,белый,12000,левый,"3 поколение, 3 рестайлинг",1690000
1158,"Продажа Mazda CX-5, 2013 год в Москве","бензин, 2.0 л",150 л.с.,автомат,4WD,белый,84000,левый,1 поколение,890000
1159,"Продажа Volkswagen Golf, 2001 год в Москве","бензин, 2.0 л",116 л.с.,автомат,передний,красный,278070,левый,,190000
1160,"Продажа Лада Приора, 2008 год в Москве","бензин, 1.6 л",98 л.с.,механика,передний,серебристый,70000,левый,1 поколение,130000
1161,"Продажа Volkswagen Tiguan, 2014 год в Москве","бензин, 2.0 л",170 л.с.,автомат,4WD,серебристый,38000,левый,"1 поколение, рестайлинг",1060000
1162,"Продажа Honda Civic, 2002 год в Москве","бензин, 1.6 л",110 л.с.,автомат,передний,,157000,левый,7 поколение,300000
1163,"Продажа Toyota Land Cruiser Prado, 2006 год в Москве","бензин, 4.0 л, ГБО",249 л.с.,,4WD,бордовый,233000,левый,3 поколение,1100000
1164,"Продажа Citroen C4, 2014 год в Москве","бензин, 1.6 л",120 л.с.,автомат,передний,серый,42000,левый,2 поколение,530000
1165,"Продажа Opel Astra GTC, 2008 год в Москве","бензин, 1.8 л",140 л.с.,автомат,передний,синий,130000,левый,3 поколение,315000
1166,"Продажа Nissan Qashqai, 2014 год в Москве","бензин, 2.0 л",144 л.с.,,передний,фиолетовый,37603,левый,2 поколение,1150000
1167,"Продажа Chevrolet Astro, 2000 год в Москве","бензин, 4.3 л",193 л.с.,автомат,задний,серебристый,146000,,2 поколение,799000
1168,"Продажа Mitsubishi Pajero, 2008 год в Москве","дизель, 3.2 л",165 л.с.,механика,4WD,синий,,левый,4 поколение,820000
1169,"Продажа Chrysler PT Cruiser, 2001 год в Москве","бензин, 2.4 л",150 л.с.,механика,передний,черный,224000,левый,1 поколение,170000
1170,"Продажа Лада 2108, 2000 год в Москве","бензин, 1.5 л",82 л.с.,механика,передний,зеленый,82000,левый,1 поколение,140000
1171,"Продажа Volkswagen Passat, 2012 год в Москве","бензин, 1.4 л",122 л.с.,автомат,передний,белый,99000,левый,7 поколение,630000
1172,"Продажа Toyota Camry, 2017 год в Москве","бензин, 2.5 л",181 л.с.,автомат,передний,белый,116000,левый,,1320000
1173,"Продажа Hyundai Sonata, 2006 год в Москве","бензин, 2.0 л",137 л.с.,автомат,передний,серый,185000,левый,"4 поколение, рестайлинг",245000
1174,"Продажа Toyota Land Cruiser, 2011 год в Москве","дизель, 4.5 л",235 л.с.,автомат,4WD,белый,,левый,11 поколение,1850000
1175,"Продажа BMW 5-Series, 2012 год в Москве","дизель, 2.0 л",184 л.с.,автомат,задний,бежевый,123661,левый,6 поколение,1047000
1176,"Продажа Mercedes-Benz CLA-Class, 2015 год в Москве","бензин, 1.6 л",156 л.с.,автомат,передний,белый,48495,левый,1 поколение,1617000
1177,"Продажа Ford Focus, 2013 год в Москве","бензин, 1.6 л",105 л.с.,автомат,передний,серый,83381,левый,3 поколение,578000
1178,"Продажа BMW 5-Series, 2018 год в Москве","бензин, 2.0 л",249 л.с.,автомат,4WD,черный,45357,левый,7 поколение,2847000
